"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:51:17 GMT 2024","Mon Sep 30 18:51:20 GMT 2024","2917","chromium","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:51:41 GMT 2024","Mon Sep 30 18:51:44 GMT 2024","3014","firefox","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:51:20 GMT 2024","Mon Sep 30 18:51:24 GMT 2024","3513","chromium","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:51:24 GMT 2024","Mon Sep 30 18:51:28 GMT 2024","3941","chromium","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:51:07 GMT 2024","Mon Sep 30 18:51:12 GMT 2024","5018","chromium","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:52:20 GMT 2024","Mon Sep 30 18:52:25 GMT 2024","5442","webkit","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:52:11 GMT 2024","Mon Sep 30 18:52:15 GMT 2024","3691","webkit","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:52:15 GMT 2024","Mon Sep 30 18:52:20 GMT 2024","4725","webkit","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:51:34 GMT 2024","Mon Sep 30 18:51:41 GMT 2024","6624","firefox","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:51:44 GMT 2024","Mon Sep 30 18:51:48 GMT 2024","4137","firefox","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:51:12 GMT 2024","Mon Sep 30 18:51:17 GMT 2024","5403","chromium","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:51:54 GMT 2024","Mon Sep 30 18:52:02 GMT 2024","8362","webkit","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:52:05 GMT 2024","Mon Sep 30 18:52:11 GMT 2024","6727","webkit","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:51:28 GMT 2024","Mon Sep 30 18:51:34 GMT 2024","5761","firefox","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:51:48 GMT 2024","Mon Sep 30 18:51:53 GMT 2024","4878","firefox","sign-out.spec.js","Sign out check","","","should log out",""
