"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:12:39 GMT 2024","Mon Sep 30 18:12:45 GMT 2024","6712","webkit","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:12:29 GMT 2024","Mon Sep 30 18:12:38 GMT 2024","9011","webkit","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:12:49 GMT 2024","Mon Sep 30 18:12:54 GMT 2024","4728","webkit","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:12:09 GMT 2024","Mon Sep 30 18:12:13 GMT 2024","4855","firefox","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:12:45 GMT 2024","Mon Sep 30 18:12:49 GMT 2024","3533","webkit","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:11:55 GMT 2024","Mon Sep 30 18:12:01 GMT 2024","6203","firefox","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:12:01 GMT 2024","Mon Sep 30 18:12:04 GMT 2024","3184","firefox","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:11:31 GMT 2024","Mon Sep 30 18:11:37 GMT 2024","5820","chromium","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:12:04 GMT 2024","Mon Sep 30 18:12:08 GMT 2024","4366","firefox","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:11:40 GMT 2024","Mon Sep 30 18:11:43 GMT 2024","3659","chromium","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:11:43 GMT 2024","Mon Sep 30 18:11:47 GMT 2024","4117","chromium","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:11:37 GMT 2024","Mon Sep 30 18:11:40 GMT 2024","2872","chromium","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:11:48 GMT 2024","Mon Sep 30 18:11:54 GMT 2024","6008","firefox","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:11:23 GMT 2024","Mon Sep 30 18:11:28 GMT 2024","5393","chromium","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:12:54 GMT 2024","Mon Sep 30 18:12:59 GMT 2024","5303","webkit","sign-out.spec.js","Sign out check","","","should log out",""
