"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:06:39 GMT 2024","Mon Sep 30 18:06:44 GMT 2024","4258","chromium","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:06:36 GMT 2024","Mon Sep 30 18:06:39 GMT 2024","3336","chromium","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:07:34 GMT 2024","Mon Sep 30 18:07:39 GMT 2024","4966","webkit","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:06:44 GMT 2024","Mon Sep 30 18:06:50 GMT 2024","6044","firefox","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:06:51 GMT 2024","Mon Sep 30 18:06:57 GMT 2024","5984","firefox","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:06:22 GMT 2024","Mon Sep 30 18:06:27 GMT 2024","4975","chromium","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:06:34 GMT 2024","Mon Sep 30 18:06:36 GMT 2024","2510","chromium","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:07:00 GMT 2024","Mon Sep 30 18:07:04 GMT 2024","4242","firefox","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:07:04 GMT 2024","Mon Sep 30 18:07:09 GMT 2024","4570","firefox","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:07:29 GMT 2024","Mon Sep 30 18:07:34 GMT 2024","4528","webkit","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:07:20 GMT 2024","Mon Sep 30 18:07:26 GMT 2024","6215","webkit","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:07:26 GMT 2024","Mon Sep 30 18:07:29 GMT 2024","3457","webkit","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:07:10 GMT 2024","Mon Sep 30 18:07:18 GMT 2024","8411","webkit","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:06:57 GMT 2024","Mon Sep 30 18:07:00 GMT 2024","3294","firefox","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:06:28 GMT 2024","Mon Sep 30 18:06:34 GMT 2024","5396","chromium","reset-password.spec.js","Reset password check","","","should reset password",""
