"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:04:41 GMT 2024","Mon Sep 30 18:04:47 GMT 2024","5631","chromium","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:05:32 GMT 2024","Mon Sep 30 18:05:42 GMT 2024","9604","webkit","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:04:49 GMT 2024","Mon Sep 30 18:04:54 GMT 2024","5781","chromium","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:04:54 GMT 2024","Mon Sep 30 18:04:58 GMT 2024","3132","chromium","search.spec.js","Search check","","","should check search results",""
"passed","Fri Sep 27 13:55:22 GMT 2024","Fri Sep 27 13:55:37 GMT 2024","14453","webkit","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:05:22 GMT 2024","Mon Sep 30 18:05:26 GMT 2024","4356","firefox","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:05:26 GMT 2024","Mon Sep 30 18:05:31 GMT 2024","5017","firefox","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Fri Sep 27 13:54:55 GMT 2024","Fri Sep 27 13:55:17 GMT 2024","21648","webkit","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:05:06 GMT 2024","Mon Sep 30 18:05:12 GMT 2024","5963","firefox","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:05:18 GMT 2024","Mon Sep 30 18:05:22 GMT 2024","3262","firefox","search.spec.js","Search check","","","should check search results",""
"passed","Fri Sep 27 13:55:17 GMT 2024","Fri Sep 27 13:55:26 GMT 2024","8846","webkit","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:05:12 GMT 2024","Mon Sep 30 18:05:18 GMT 2024","6098","firefox","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:05:01 GMT 2024","Mon Sep 30 18:05:05 GMT 2024","4117","chromium","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:04:58 GMT 2024","Mon Sep 30 18:05:01 GMT 2024","3686","chromium","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Fri Sep 27 13:55:26 GMT 2024","Fri Sep 27 13:55:38 GMT 2024","12159","webkit","sign-out.spec.js","Sign out check","","","should log out",""
