"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 17:56:57 GMT 2024","Mon Sep 30 17:57:00 GMT 2024","3355","chromium","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 17:57:39 GMT 2024","Mon Sep 30 17:57:46 GMT 2024","6537","webkit","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 17:57:00 GMT 2024","Mon Sep 30 17:57:04 GMT 2024","3851","chromium","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 17:57:21 GMT 2024","Mon Sep 30 17:57:25 GMT 2024","3974","firefox","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 17:57:18 GMT 2024","Mon Sep 30 17:57:21 GMT 2024","3600","firefox","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 17:57:11 GMT 2024","Mon Sep 30 17:57:18 GMT 2024","6326","firefox","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 17:57:04 GMT 2024","Mon Sep 30 17:57:11 GMT 2024","6647","firefox","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 17:56:44 GMT 2024","Mon Sep 30 17:56:49 GMT 2024","4460","chromium","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 17:57:49 GMT 2024","Mon Sep 30 17:57:53 GMT 2024","4364","webkit","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 17:56:49 GMT 2024","Mon Sep 30 17:56:54 GMT 2024","5158","chromium","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 17:57:25 GMT 2024","Mon Sep 30 17:57:30 GMT 2024","4955","firefox","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 17:57:46 GMT 2024","Mon Sep 30 17:57:49 GMT 2024","3457","webkit","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 17:57:53 GMT 2024","Mon Sep 30 17:57:59 GMT 2024","5221","webkit","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 17:56:54 GMT 2024","Mon Sep 30 17:56:57 GMT 2024","2420","chromium","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 17:57:31 GMT 2024","Mon Sep 30 17:57:38 GMT 2024","7107","webkit","register.spec.js","Register check","","","should register",""
